fold,framework,selection,model,n,events,c_statistic,calibration_slope,calibration_intercept,brier_score,net_benefit,set
1,cox,backward,Cox - Backward,1216,41,0.6832900882200317,0.5384656237234101,-1.422860715069287,0.031395490492920564,0,CV fold
1,cox,forward,Cox - Forward,1216,41,0.6832900882200317,0.5384656237234101,-1.422860715069287,0.031395490492920564,0,CV fold
1,cox,group_lasso,Cox - Group lasso,1216,41,0.7147898287493527,1.3588123799789318,1.1653692159363587,0.03153371961609845,0,CV fold
1,landmark,backward,Landmark Cox - Backward,430,15,0.6142971887550199,0.7976510898147448,-0.8983241923632926,0.033836439356596484,0,CV fold
1,landmark,forward,Landmark Cox - Forward,430,15,0.6142971887550199,0.7976510898147448,-0.8983241923632926,0.033836439356596484,0,CV fold
1,landmark,group_lasso,Landmark Cox - Group lasso,430,15,0.6064257028112447,0.38612549028660353,-2.145914786367565,0.03408347092049396,0,CV fold
1,logistic,backward,Logistic - Backward,1216,41,0.7152672548002034,1.1412854705169369,0.4747373791751805,0.0313634888840548,0,CV fold
1,logistic,forward,Logistic - Forward,1216,41,0.7152672548002034,1.1412854705169369,0.4747373791751805,0.0313634888840548,0,CV fold
1,logistic,group_lasso,Logistic - Group lasso,1216,41,0.5,NA,-3.3554513598732902,0.032586716773331935,0,CV fold
2,cox,backward,Cox - Backward,1193,36,0.4854508787093087,-0.01037345000351358,-3.5146193730168753,0.029975197616674134,0,CV fold
2,cox,forward,Cox - Forward,1193,36,0.4854508787093087,-0.01037345000351358,-3.5146193730168753,0.029975197616674134,0,CV fold
2,cox,group_lasso,Cox - Group lasso,1193,36,0.594797368673771,0.5666235885429025,-1.483878694672294,0.029170634024768976,0,CV fold
2,landmark,backward,Landmark Cox - Backward,499,10,0.5502044989775051,0.3180721901385405,-2.9295923388689333,0.020618586184379707,0,CV fold
2,landmark,forward,Landmark Cox - Forward,499,10,0.5502044989775051,0.3180721901385405,-2.9295923388689333,0.020618586184379707,0,CV fold
2,landmark,group_lasso,Landmark Cox - Group lasso,499,10,0.5420245398773004,0.23553343814037844,-3.1718080537459206,0.021889695776386615,-0.002004008016032064,CV fold
2,logistic,backward,Logistic - Backward,1193,36,0.6006914433880682,0.4946145111398121,-1.6959175275607024,0.02926244055763481,0,CV fold
2,logistic,forward,Logistic - Forward,1193,36,0.6006914433880682,0.4946145111398121,-1.6959175275607024,0.02926244055763481,0,CV fold
2,logistic,group_lasso,Logistic - Group lasso,1193,36,0.5655670796120236,1.6391105252776406,2.088618378206666,0.02920463850256225,0,CV fold
3,cox,backward,Cox - Backward,1205,38,0.5683263428494119,-0.09474511200747918,-3.878899376641474,0.03105425373379556,-8.298755186721991e-4,CV fold
3,cox,forward,Cox - Forward,1205,38,0.5683263428494119,-0.09474511200747918,-3.878899376641474,0.03105425373379556,-8.298755186721991e-4,CV fold
3,cox,group_lasso,Cox - Group lasso,1205,38,0.7277319262165709,1.3144885471916055,0.880519141727243,0.02931184148677267,0,CV fold
