framework,selection,model,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none
cox,backward,Cox - Backward,0.01,0.017236447936895032,0.02000632253985458,0
cox,backward,Cox - Backward,0.02,0.013382402141184344,0.010006387055567383,0
cox,backward,Cox - Backward,0.03,0.006437537449874784,-1.9973266550923907e-4,0
cox,backward,Cox - Backward,0.04,4.34674615002483e-4,-0.01061847988077497,0
cox,backward,Cox - Backward,0.05,-0.0043140638481449535,-0.021256569142677862,0
cox,backward,Cox - Backward,0.060000000000000005,-0.0024415765608650167,-0.0321210007293021,0
cox,backward,Cox - Backward,0.06999999999999999,-0.003333173084627341,-0.04321907600596124,0
cox,backward,Cox - Backward,0.08,-0.0030454221473465953,-0.054558413788634755,0
cox,backward,Cox - Backward,0.09,-0.002931494734773423,-0.06614696778631204,0
cox,backward,Cox - Backward,0.09999999999999999,-0.002649445272396092,-0.07799304520615995,0
cox,backward,Cox - Backward,0.11,-0.002561998693883019,-0.09010532661297074,0
cox,backward,Cox - Backward,0.12,-0.002370952445468094,-0.1024928871426636,0
cox,backward,Cox - Backward,0.13,-0.003785737533617692,-0.11516521917878618,0
cox,backward,Cox - Backward,0.14,-0.003881745399091949,-0.12813225661109762,0
cox,backward,Cox - Backward,0.15000000000000002,-0.0039449460857368295,-0.14140440080652233,0
cox,backward,Cox - Backward,0.16,-0.003974167908594139,-0.1549925484351714,0
cox,backward,Cox - Backward,0.17,-0.0036629378916560435,-0.1689081213078843,0
cox,backward,Cox - Backward,0.18000000000000002,-0.0029442768347206576,-0.18316309839700487,0
cox,backward,Cox - Backward,0.19,-0.0027966366764180972,-0.1977700502290666,0
cox,backward,Cox - Backward,0.2,-0.0018628912071535022,-0.21274217585692995,0
cox,forward,Cox - Forward,0.01,0.017236447936895032,0.02000632253985458,0
cox,forward,Cox - Forward,0.02,0.013382402141184344,0.010006387055567383,0
cox,forward,Cox - Forward,0.03,0.006437537449874784,-1.9973266550923907e-4,0
cox,forward,Cox - Forward,0.04,4.34674615002483e-4,-0.01061847988077497,0
cox,forward,Cox - Forward,0.05,-0.0043140638481449535,-0.021256569142677862,0
cox,forward,Cox - Forward,0.060000000000000005,-0.0024415765608650167,-0.0321210007293021,0
cox,forward,Cox - Forward,0.06999999999999999,-0.003333173084627341,-0.04321907600596124,0
cox,forward,Cox - Forward,0.08,-0.0030454221473465953,-0.054558413788634755,0
cox,forward,Cox - Forward,0.09,-0.002931494734773423,-0.06614696778631204,0
cox,forward,Cox - Forward,0.09999999999999999,-0.002649445272396092,-0.07799304520615995,0
cox,forward,Cox - Forward,0.11,-0.002561998693883019,-0.09010532661297074,0
cox,forward,Cox - Forward,0.12,-0.002370952445468094,-0.1024928871426636,0
cox,forward,Cox - Forward,0.13,-0.003785737533617692,-0.11516521917878618,0
cox,forward,Cox - Forward,0.14,-0.003881745399091949,-0.12813225661109762,0
cox,forward,Cox - Forward,0.15000000000000002,-0.0039449460857368295,-0.14140440080652233,0
cox,forward,Cox - Forward,0.16,-0.003974167908594139,-0.1549925484351714,0
cox,forward,Cox - Forward,0.17,-0.0036629378916560435,-0.1689081213078843,0
cox,forward,Cox - Forward,0.18000000000000002,-0.0029442768347206576,-0.18316309839700487,0
cox,forward,Cox - Forward,0.19,-0.0027966366764180972,-0.1977700502290666,0
cox,forward,Cox - Forward,0.2,-0.0018628912071535022,-0.21274217585692995,0
cox,group_lasso,Cox - Group lasso,0.01,0.020819220521157925,0.02000632253985458,0
cox,group_lasso,Cox - Group lasso,0.02,0.011344627269685817,0.010006387055567383,0
cox,group_lasso,Cox - Group lasso,0.03,0.0030420821362176775,-1.9973266550923907e-4,0
cox,group_lasso,Cox - Group lasso,0.04,3.7257824143069915e-4,-0.01061847988077497,0
cox,group_lasso,Cox - Group lasso,0.05,-0.003294376029492509,-0.021256569142677862,0
cox,group_lasso,Cox - Group lasso,0.060000000000000005,-0.003646510448045154,-0.0321210007293021,0
cox,group_lasso,Cox - Group lasso,0.06999999999999999,-0.003108824896238962,-0.04321907600596124,0
cox,group_lasso,Cox - Group lasso,0.08,-0.0027862372837426292,-0.054558413788634755,0
cox,group_lasso,Cox - Group lasso,0.09,-0.0020471331946741783,-0.06614696778631204,0
cox,group_lasso,Cox - Group lasso,0.09999999999999999,-0.0033118065904951146,-0.07799304520615995,0
cox,group_lasso,Cox - Group lasso,0.11,-0.0025787437833855223,-0.09010532661297074,0
cox,group_lasso,Cox - Group lasso,0.12,-0.002032244953258366,-0.1024928871426636,0
cox,group_lasso,Cox - Group lasso,0.13,-0.0011134522157699093,-0.11516521917878618,0
cox,group_lasso,Cox - Group lasso,0.14,-0.0012130454372162342,-0.12813225661109762,0
cox,group_lasso,Cox - Group lasso,0.15000000000000002,-2.629964057157886e-4,-0.14140440080652233,0
cox,group_lasso,Cox - Group lasso,0.16,0,-0.1549925484351714,0
cox,group_lasso,Cox - Group lasso,0.17,0,-0.1689081213078843,0
cox,group_lasso,Cox - Group lasso,0.18000000000000002,0,-0.18316309839700487,0
cox,group_lasso,Cox - Group lasso,0.19,0,-0.1977700502290666,0
cox,group_lasso,Cox - Group lasso,0.2,0,-0.21274217585692995,0
landmark,backward,Landmark Cox - Backward,0.01,0.0339637990644702,0.03396379906447011,0
landmark,backward,Landmark Cox - Backward,0.02,0.024106286810026023,0.02410628681002593,0
landmark,backward,Landmark Cox - Backward,0.03,0.011347125164325744,0.014045526880232386,0
landmark,backward,Landmark Cox - Backward,0.04,0.004474272930648769,0.0037751677852348037,0
landmark,backward,Landmark Cox - Backward,0.05,0.00759448957965383,-0.006711409395973256,0
landmark,backward,Landmark Cox - Backward,0.060000000000000005,0.005140654005426245,-0.017421105240611273,0
landmark,backward,Landmark Cox - Backward,0.06999999999999999,0.005015515623872412,-0.0283611171249189,0
landmark,backward,Landmark Cox - Backward,0.08,-0.0017508024511234314,-0.039538955354537594,0
landmark,backward,Landmark Cox - Backward,0.09,-0.001991297293310716,-0.0509624603584336,0
landmark,backward,Landmark Cox - Backward,0.09999999999999999,-0.0022371364653243847,-0.06263982102908286,0
landmark,backward,Landmark Cox - Backward,0.11,-0.0024885001131136415,-0.07457959429907257,0
landmark,backward,Landmark Cox - Backward,0.12,0,-0.08679072605247112,0
landmark,backward,Landmark Cox - Backward,0.13,0,-0.09928257347836161,0
landmark,backward,Landmark Cox - Backward,0.14,0,-0.11206492898392398,0
landmark,backward,Landmark Cox - Backward,0.15000000000000002,0,-0.12514804579549954,0
landmark,backward,Landmark Cox - Backward,0.16,0,-0.1385426653883031,0
landmark,backward,Landmark Cox - Backward,0.17,0,-0.15226004689900557,0
landmark,backward,Landmark Cox - Backward,0.18000000000000002,0,-0.16631199869045685,0
landmark,backward,Landmark Cox - Backward,0.19,0,-0.18071091225453653,0
landmark,backward,Landmark Cox - Backward,0.2,0,-0.19546979865771824,0
landmark,forward,Landmark Cox - Forward,0.01,0.0339637990644702,0.03396379906447011,0
landmark,forward,Landmark Cox - Forward,0.02,0.024106286810026023,0.02410628681002593,0
landmark,forward,Landmark Cox - Forward,0.03,0.011347125164325744,0.014045526880232386,0
landmark,forward,Landmark Cox - Forward,0.04,0.004474272930648769,0.0037751677852348037,0
landmark,forward,Landmark Cox - Forward,0.05,0.00759448957965383,-0.006711409395973256,0
landmark,forward,Landmark Cox - Forward,0.060000000000000005,0.005140654005426245,-0.017421105240611273,0
landmark,forward,Landmark Cox - Forward,0.06999999999999999,0.005015515623872412,-0.0283611171249189,0
landmark,forward,Landmark Cox - Forward,0.08,-0.0017508024511234314,-0.039538955354537594,0
landmark,forward,Landmark Cox - Forward,0.09,-0.001991297293310716,-0.0509624603584336,0
landmark,forward,Landmark Cox - Forward,0.09999999999999999,-0.0022371364653243847,-0.06263982102908286,0
landmark,forward,Landmark Cox - Forward,0.11,-0.0024885001131136415,-0.07457959429907257,0
landmark,forward,Landmark Cox - Forward,0.12,0,-0.08679072605247112,0
landmark,forward,Landmark Cox - Forward,0.13,0,-0.09928257347836161,0
landmark,forward,Landmark Cox - Forward,0.14,0,-0.11206492898392398,0
landmark,forward,Landmark Cox - Forward,0.15000000000000002,0,-0.12514804579549954,0
landmark,forward,Landmark Cox - Forward,0.16,0,-0.1385426653883031,0
landmark,forward,Landmark Cox - Forward,0.17,0,-0.15226004689900557,0
landmark,forward,Landmark Cox - Forward,0.18000000000000002,0,-0.16631199869045685,0
landmark,forward,Landmark Cox - Forward,0.19,0,-0.18071091225453653,0
landmark,forward,Landmark Cox - Forward,0.2,0,-0.19546979865771824,0
landmark,group_lasso,Landmark Cox - Group lasso,0.01,0.03101484645108806,0.03396379906447011,0
landmark,group_lasso,Landmark Cox - Group lasso,0.02,0.021640871113546088,0.02410628681002593,0
landmark,group_lasso,Landmark Cox - Group lasso,0.03,0.011139555801563691,0.014045526880232386,0
landmark,group_lasso,Landmark Cox - Group lasso,0.04,0.004334451901565993,0.0037751677852348037,0
landmark,group_lasso,Landmark Cox - Group lasso,0.05,0.007417873542917696,-0.006711409395973256,0
landmark,group_lasso,Landmark Cox - Group lasso,0.060000000000000005,0.004926460088533485,-0.017421105240611273,0
landmark,group_lasso,Landmark Cox - Group lasso,0.06999999999999999,0.005268095547376778,-0.0283611171249189,0
landmark,group_lasso,Landmark Cox - Group lasso,0.08,-0.0046688065363291505,-0.039538955354537594,0
landmark,group_lasso,Landmark Cox - Group lasso,0.09,-0.0033188288221845264,-0.0509624603584336,0
landmark,group_lasso,Landmark Cox - Group lasso,0.09999999999999999,-0.003728560775540641,-0.06263982102908286,0
landmark,group_lasso,Landmark Cox - Group lasso,0.11,-0.0020737500942613683,-0.07457959429907257,0
landmark,group_lasso,Landmark Cox - Group lasso,0.12,-0.001830384380719951,-0.08679072605247112,0
landmark,group_lasso,Landmark Cox - Group lasso,0.13,-0.002005708555118414,-0.09928257347836161,0
landmark,group_lasso,Landmark Cox - Group lasso,0.14,-0.0016388325269236774,-0.11206492898392398,0
landmark,group_lasso,Landmark Cox - Group lasso,0.15000000000000002,-0.0017765495459928942,-0.12514804579549954,0
landmark,group_lasso,Landmark Cox - Group lasso,0.16,-0.0012783636944710772,-0.1385426653883031,0
landmark,group_lasso,Landmark Cox - Group lasso,0.17,-0.0013746260208619715,-0.15226004689900557,0
landmark,group_lasso,Landmark Cox - Group lasso,0.18000000000000002,-0.001473236208872156,-0.16631199869045685,0
landmark,group_lasso,Landmark Cox - Group lasso,0.19,-0.0015742812163393818,-0.18071091225453653,0
landmark,group_lasso,Landmark Cox - Group lasso,0.2,-0.0016778523489932886,-0.19546979865771824,0
logistic,backward,Logistic - Backward,0.01,0.01813966791612097,0.02000632253985458,0
logistic,backward,Logistic - Backward,0.02,0.010797165363910094,0.010006387055567383,0
logistic,backward,Logistic - Backward,0.03,0.0021509671670226008,-1.9973266550923907e-4,0
logistic,backward,Logistic - Backward,0.04,9.314456035767511e-4,-0.01061847988077497,0
logistic,backward,Logistic - Backward,0.05,-0.0035296886030276894,-0.021256569142677862,0
logistic,backward,Logistic - Backward,0.060000000000000005,-0.004217268605130482,-0.0321210007293021,0
logistic,backward,Logistic - Backward,0.06999999999999999,-0.00344534717882153,-0.04321907600596124,0
logistic,backward,Logistic - Backward,0.08,-0.0029158297155446127,-0.054558413788634755,0
logistic,backward,Logistic - Backward,0.09,-0.0024893139647238,-0.06614696778631204,0
logistic,backward,Logistic - Backward,0.09999999999999999,-0.0021526742838218244,-0.07799304520615995,0
logistic,backward,Logistic - Backward,0.11,-0.0027629397679130594,-0.09010532661297074,0
logistic,backward,Logistic - Backward,0.12,-0.0022354694485842022,-0.1024928871426636,0
logistic,backward,Logistic - Backward,0.13,-0.002004213988385837,-0.11516521917878618,0
logistic,backward,Logistic - Backward,0.14,-0.0016982636121027276,-0.12813225661109762,0
logistic,backward,Logistic - Backward,0.15000000000000002,-7.889892171473659e-4,-0.14140440080652233,0
logistic,backward,Logistic - Backward,0.16,-5.677382726563054e-4,-0.1549925484351714,0
logistic,backward,Logistic - Backward,0.17,0,-0.1689081213078843,0
