landmark_age,n_at_risk,events,used
6,56,0,FALSE
7,74,0,FALSE
8,83,1,FALSE
9,102,2,FALSE
10,120,1,FALSE
11,134,2,FALSE
12,144,3,FALSE
13,160,3,FALSE
14,113,1,FALSE
15,129,1,FALSE
16,137,2,FALSE
17,138,1,FALSE
18,148,1,FALSE
19,158,2,FALSE
20,175,3,FALSE
21,181,5,TRUE
22,196,7,TRUE
23,199,5,TRUE
24,205,4,FALSE
25,210,4,FALSE
26,196,2,FALSE
27,204,2,FALSE
28,200,3,FALSE
29,192,3,FALSE
30,183,6,TRUE
31,177,8,TRUE
32,179,5,TRUE
33,171,3,FALSE
34,188,6,TRUE
35,175,8,TRUE
36,171,8,TRUE
37,164,6,TRUE
38,167,4,FALSE
39,162,2,FALSE
40,156,6,TRUE
41,145,7,TRUE
42,130,7,TRUE
43,122,9,TRUE
44,106,8,TRUE
45,103,6,TRUE
46,85,3,FALSE
47,73,5,TRUE
48,62,5,TRUE
49,51,4,FALSE
50,44,5,TRUE
